Country,City,AccentCity,Region,Population,Latitude,Longitude,temperature,Humidity,Cloudiness,Wind Speed
kr,pigo,Pigo,03,,35.433333000000005,126.933333,274.15,69,75,10.3
mm,hsaw taw,Hsaw Taw,11,,21.0666667,97.16666670000001,291.057,99,92,0.77
sn,darou khara,Darou Khara,08,,15.5,-16.3666667,305.15,22,0,2.1
et,tirigol,Tirigol,49,,7.816667,33.033333,300.807,49,0,1.12
ru,ivanishchevo,Ivanishchevo,25,,54.88460799999999,35.856823,275.307,93,92,6.47
sy,brummanat ra`d,Brummanat Ra`d,14,,34.9833333,36.0666667,285.15,54,40,3.1
lr,zigri,Zigri,09,,7.067222200000001,-8.7355556,301.907,60,32,1.17
ru,yevlashtau,Yevlashtau,73,,56.1128,50.5426,257.382,64,20,3.87
sy,marj darwish al khalaf,Marj Darwish al Khalaf,04,,36.1333333,38.9833333,279.007,66,68,3.37
kr,kaemdul,Kaemdul,06,,37.3184,128.6954,262.357,58,0,6.27
ph,badyang,Badyang,11,,10.048888999999999,124.325278,300.15,83,75,2.1
ba,malesici,Malesici,02,,44.5041667,19.053333300000002,276.15,69,20,4.6
no,bjorgo,Bjørgo,15,,60.916667000000004,7.233333,269.15,68,75,3.1
id,sintung selatan,Sintung Selatan,17,,-8.6103,116.2208,298.15,94,40,0.72
lb,hadchit,Hadchît,03,,34.2522222,35.984444399999994,290.15,45,0,2.6
tm,bay-kabyl',Bay-Kabyl',05,,37.4333333,62.0,274.15,69,5,4.1
ca,nigadu,Nigadu,04,,47.733333,-65.716667,270.15,79,90,3.6
ru,vilovatik,Vilovatik,77,,57.8084,36.7353,273.032,92,92,8.17
ru,sakany,Sakany,73,,55.374430000000004,50.207396,262.15,92,90,3
cn,chulusongjie,Chulusongjie,14,,32.1,78.7,248.882,41,0,0.97
th,ban tha kham nuea,Ban Tha Kham Nuea,02,,18.208528,98.616972,291.207,93,0,0.82
de,desching,Desching,02,,48.65,13.25,270.957,91,92,2.72
hn,los talpetates,Los Talpetates,02,,13.439722199999999,-87.0702778,300.457,47,36,6.62
pk,banda tabbikhwah,Banda Tabbikhwah,03,,33.212317,71.100842,282.732,85,68,1.67
sd,tiemwut,Tiemwut,32,,7.089722200000001,30.149444399999997,298.857,60,12,2.52
id,tumang,Tumang,08,,-7.383611,111.33444399999999,295.957,97,80,1.47
ng,itawmu,Itawmu,05,,6.5,3.6312260000000003,302.15,66,80,1.5
za,tarka se kop,Tarka se Kop,08,,-29.625471,21.679036,300.382,14,0,3.87
gh,pompomde,Pompomde,09,,4.85,-1.8333332999999998,300.107,100,8,2.57
iq,musa ja-efar,Musa Ja-efar,18,,33.800277799999996,44.38444439999999,285.15,82,20,2.6
cn,ceshi,Ceshi,24,,37.860278,113.385,266.15,62,0,1
nl,guttecoven,Guttecoven,05,,51.013690000000004,5.819585,279.64,81,75,15.4
gn,konkobaro,Konkobaro,17,,9.1,-10.35,303.707,31,8,1.32
id,wa mlana,Wa Mlana,28,,-3.074744,126.53491499999998,298.357,100,88,1.97
hn,talpetate,Talpetate,08,,13.683333300000001,-87.5,290.15,59,20,5.97
ir,kordar,Kordar,26,,35.583333,52.15,268.257,59,0,0.92
bf,tourendougou,Tourendougou,55,,9.866666699999998,-4.4,299.657,43,0,2.52
tr,ziyabeyciftligi,Ziyabeyciftligi,32,,36.983333,34.933333000000005,283.15,76,76,1.5
cn,shimutang,Shimutang,31,,18.770329,110.34993700000001,294.107,100,76,7.52
pl,dlugowola,Dlugowola,78,,51.096669,21.611147,270.857,83,0,7.92
ru,bolshiye gari,Bolshiye Gari,51,,57.04199200000001,43.538474,268.382,87,76,5.32
ve,garzas,Garzas,05,,8.3833333,-70.1,307.15,49,20,4.27
al,trebicka,Trebicka,46,,40.45,20.4716667,268.857,100,0,0.17
ml,sangoue,Sangoué,07,,13.083333300000001,-5.9166667,299.282,31,0,2.62
id,saurulenggu,Saurulenggu,24,,-1.0984770000000001,98.846338,299.132,97,48,0.47
ru,goristaya,Goristaya,60,,57.530751,30.419186,271.657,94,92,1.97
cz,rauenkulm,Rauenkulm,81,,50.15,12.533333,270.84,92,90,4.1
us,north american trailer park,North American Trailer Park,IA,,41.33888889999999,-93.5583333,278.31,48,1,7.2
af,betani,Betani,18,,34.457726,70.373825,281.15,70,75,0.5
pg,alepa,Alepa,01,,-9.965833300000002,147.95138889999998,300.232,100,48,2.17
id,doesoenpasirmajang,Doesoenpasirmajang,05,,-1.133333,102.15,295.232,99,88,1.42
af,nazarmukhammed-khune,Nazarmukhammed-Khune,08,,32.572571999999994,67.88215500000001,270.882,60,68,2.07
ma,ouled yahia,Ouled Yahia,54,,34.795555,-2.486477,290.5,77,0,3.6
tg,adidome,Adidomé,18,,6.231388900000001,1.3086111,303.15,51,0,0.5
tr,bukkoy,Bükköy,37,,41.466347,34.09473,277.757,93,92,2.77
cn,laohuya,Laohuya,26,,33.169395,106.02026599999999,270.407,79,80,0.97
ir,seh konar,Seh Konar,11,,26.836475,54.22493000000001,293.05,49,0,2.1
id,paun,Paun,38,,-3.1993,119.5441,289.482,96,56,0.27
id,meseugit,Meseugit,01,,4.1728,96.1573,298.257,100,92,0.92
in,sijari khurd,Sijari Khurd,36,,25.3632,79.2603,286.282,69,0,0.52
us,oyster bay,Oyster Bay,AL,,30.2852778,-87.7430556,282.97,37,1,3.6
cn,linjiaweizi,Linjiaweizi,19,,42.536390000000004,122.507801,256.157,30,0,6.17
se,sandbacka,Sandbacka,28,,58.083332999999996,11.933333,271.81,92,75,4.6
ir,qarah saqqal-e `olya,Qarah Saqqal-e `Olya,32,,39.2676,48.0226,269.007,79,0,1.07
cn,sanlousi,Sanlousi,24,,35.001389,110.73361100000001,265.457,72,56,1.32
mg,ambalamarana,Ambalamarana,04,,-20.05,46.95,289.357,98,92,1.17
eg,as sayyar,As Sayyar,21,,31.591944399999996,31.0416667,292.282,100,68,5.12
cn,xinwuzai,Xinwuzai,03,,28.070437,114.184118,269.782,74,0,1.22
sb,ghaomai,Ghaomai,00,,-7.05,155.65,301.857,100,0,2.17
au,mackies crossing,Mackies Crossing,08,,-31.833333000000003,116.8,289.482,96,8,1.42
ir,asgharabad,Asgharabad,43,,37.313681,56.533714,264.357,71,0,0.67
ru,berezovka,Berëzovka,43,,52.013276,38.311737,278.15,93,40,8
de,osterholz,Osterholz,14,,52.75,12.033333,272.257,89,88,7.27
de,bohnenburger reihe,Bohnenburger Reihe,06,,53.61666700000001,8.033333,273.15,97,75,5.7
ua,nadezhda,Nadezhda,11,,45.207571,35.099236,282.507,99,12,10.92
kh,phum kompleanh,Phum Kompleanh,05,,12.9,104.4333333,294.757,91,0,0.57
pk,khair din hamiana,Khair Din Hamiana,04,,30.439743,71.558801,287.15,87,90,1.07
be,spanuit,Spanuit,02,,50.833333,4.216667,279.98,87,75,9.8
cn,huoyandian,Huoyandian,09,,32.909962,113.409477,271.157,49,0,2.42
az,muganly,Muganly,06,,40.486389,48.218333,274.907,81,0,1.52
id,banjar segarakaton,Banjar Segarakaton,02,,-8.4561,115.6153,299.15,88,40,2.1
ao,calunga camuhungo,Calunga Camuhungo,17,,-9.381958000000001,18.386110000000002,293.707,92,88,1.52
iq,qulijan,Qulijan,05,,35.0152778,45.218888899999996,274.15,100,0,2.1
nl,kadoelen,Kadoelen,15,,52.666939,6.001286,274.49,100,75,6.2
ng,ajiboro,Ajiboro,32,,7.266667,4.316667,304.15,40,32,1
fr,reville,Réville,99,,49.619058,-1.258678,281.68,70,40,7.2
cn,lixiankeng,Lixiankeng,02,,29.349286,120.650714,268.132,69,0,1.92
et,adil badir,Adil Badir,53,,12.4,39.333333,281.307,69,20,1.22
ee,kurisoo,Kurisoo,04,,59.1405556,25.800277800000003,273.15,87,90,4.1
lv,kundzinsala,Kundzinsala,25,,57.1666667,24.105555600000002,271.15,100,40,3.6
pl,miloradz,Miloradz,82,,54.013712,18.916386,271.15,86,20,4.6
pk,ghazi khan,Ghazi Khan,05,,27.040003999999996,67.623869,286.657,97,100,1.32
cn,serqexoi,Sêrqêxoi,14,,28.403000000000002,92.40299999999999,249.207,31,0,0.87
us,borodino,Borodino,LA,,31.065833299999998,-91.9508333,284.08,37,1,2.6
sd,gorbek,Gorbek,26,,8.2,30.2,298.057,67,0,2.52
gr,votonasi,Votonási,17,,39.768055600000004,21.1183333,275.15,93,20,0.42
cn,lisuitien,Lisuitien,22,,40.075556,116.752222,272.15,28,0,3
kr,tangnamuma,Tangnamuma,14,,36.4635,129.1771,267.132,41,0,8.57
ir,yekkeh tut-e `olya,Yekkeh Tut-e `Olya,37,,37.903299,56.067948,272.282,76,0,1.22
mx,cucapa mestizos,Cucapá Mestizos,02,,32.245833000000005,-115.2825,287.15,22,90,2.6
th,ban sanai klang,Ban Sanai Klang,30,,14.838583999999999,104.026889,295.857,71,20,3.97
cn,yingangling,Yingangling,30,,23.820017,114.79653400000001,283.007,99,0,3.47
ng,alapako,Alapako,32,,7.15,3.75,304.15,40,68,1
gw,carere,Carere,06,,12.2166667,-16.15,304.15,29,0,4.1
br,arapari,Arapari,06,,-3.55,-39.616667,305.632,46,36,5.12
ru,elton,Elton,84,,49.116667,46.566666999999995,272.557,90,64,5.27
ug,kiterera,Kiterera,86,,0.3666667,33.533333299999995,294.007,89,24,1.17
mx,huitzila,Huitzila,17,,18.633333,-98.93333299999999,292.15,24,5,1
cn,agong,Agong,14,,31.6,92.0,254.732,45,0,1.02
cg,youiounkoye,Youiounkoye,01,,-4.1119444,13.2911111,296.307,94,100,0.87
ir,gerdeh ulast,Gerdeh Ulast,08,,37.091111,49.163610999999996,280.15,100,0,0.97
ba,antonica brdo,Antonica Brdo,02,,44.8827778,16.4641667,275.15,74,0,2.6
us,garnet,Garnet,NV,,36.388611100000006,-114.8702778,286.17,18,1,1.5
id,sepatan kidul,Sepatan Kidul,30,,-6.124167,106.574722,300.15,83,20,3.1
jm,font hill,Font Hill,11,,18.0666667,-77.9333333,299.15,88,75,1.5
id,malangrejo,Malangrejo,10,,-7.741111,110.423056,295.207,100,92,1.62
tr,yayliyades,Yayliyades,41,,41.181389,30.292222,280.15,81,40,1.5
id,lumpit,Lumpit,30,,-7.4255,108.2625,293.257,99,92,0.97
iq,humayyid shanum,Humayyid Shanum,10,,33.4833333,45.6666667,276.15,59,0,2.1
id,botorejokrajan,Botorejokrajan,07,,-6.8988,110.6533,295.757,100,64,1.12
by,zhukovo vtoroye,Zhukovo Vtoroye,07,,55.8,30.0833333,270.607,91,76,4.17
id,pasirbuntu 2,Pasirbuntu 2,30,,-6.081111,106.3925,300.15,83,20,3.1
ir,churzaq,Churzaq,36,,37.0005,48.7772,262.657,70,8,0.77
ru,krasitsy,Krasitsy,69,,55.527106999999994,34.813165999999995,276.407,94,92,7.12
bo,estancia alkhamari,Estancia Alkhamari,01,,-19.146666699999997,-65.15111110000001,286.957,96,20,1.32
mg,mandrifasika,Mandrifasika,02,,-23.1,46.5666667,291.607,85,0,2.47
se,skala,Skala,28,,58.254167,11.791667,271.62,92,75,4.6
ru,golovnino,Golovnino,JA,,43.736111,145.519444,274.482,100,92,7.72
no,hjellebol,Hjellebøl,01,,59.75,11.433333,269.15,92,88,1.5
ru,rybakovshchina,Rybakovshchina,33,,58.32954300000001,47.510418,265.307,87,76,3.32
ua,novokuban,NovoKuban,08,,47.116309,33.346012,277.707,97,92,9.42
ye,al qarn,Al Qarn,08,,14.631944400000002,43.194166700000004,296.157,62,0,4.27
cn,tielu,Tielu,11,,28.020833000000003,111.02416699999999,271.607,84,0,0.72
ph,dayni,Dayni,20,,14.190346,120.844802,300.15,100,75,3.42
cu,bajurayabo,Bajurayabo,02,,23.1319444,-82.17833329999999,295.15,49,75,7.7
ge,dziruly,Dziruly,61,,42.0908333,43.1758333,281.15,84,0,4.1
gh,trayunya,Trayunya,08,,6.0166667,0.0166667,301.15,78,20,2.6
kp,wolsongdong,Wolsongdong,06,,38.288888899999996,125.65333329999999,266.632,79,36,8.12
af,sar-e bargho sang,Sar-e Bargho Sang,05,,34.395607,66.978226,253.282,54,0,0.87
bg,bichkinya,Bichkinya,46,,42.85,25.3333333,271.15,100,0,1.5
tg,koubinoukwe,Koubinoukwé,18,,6.55,1.0833333,303.15,51,8,0.5
at,wilten,Wilten,07,,47.25,11.416667,271.15,86,90,2.6
af,khwajah baranah wali,Khwajah Baranah Wali,13,,34.520885,69.69821999999999,274.15,47,20,1
gd,chadeau,Chadeau,01,,12.133333300000002,-61.6833333,303.15,70,40,5.1
gh,gowenu number 2,Gowenu Number 2,09,,6.116666700000001,-0.7,299.557,75,8,1.77
vn,don dang,Don Dang,39,,21.95,106.7,285.482,75,64,1.17
ru,ivanovo-shuyskoye,Ivanovo-Shuyskoye,83,,56.44,40.25363,271.882,95,88,6.92
ph,aquinit,Aquinit,28,,18.0615,120.7474,295.257,100,12,3.17
cn,panxi,Panxi,01,,29.971413000000002,118.714809,264.757,68,0,0.87
id,langgem,Langgem,17,,-8.3699,116.1726,298.15,94,40,0.72
kh,phum kbal khmoco,Phum Kbal Khmoco,01,,13.1,103.1333333,294.757,89,0,1.22
ca,battle harbor,Battle Harbor,05,,52.266667,-55.583332999999996,272.15,100,90,11.3
co,hacienda cascajal,Hacienda Cascajal,09,,1.98416,-76.989786,289.807,90,64,0.97
sn,diocadou,Diocadou,12,,13.133333300000002,-16.1166667,304.64,29,5,4.6
ch,affeltrangen,Affeltrangen,19,,47.527012,9.032067999999999,278.94,80,75,8.7
rw,colline nyarusange,Colline Nyarusange,01,,-2.35,29.6666667,289.032,100,92,1.07
af,burkah,Burkah,26,,36.695026,69.283592,268.882,78,0,0.07
mz,nacote,Nacote,07,,-14.271666699999999,35.701666700000004,294.157,96,92,2.17
vn,ky truc,Ky Truc,26,,18.466667,105.7,290.657,100,92,2.57
kp,kumdong,Kumdong,06,,38.3591667,125.09583329999998,266.632,79,36,8.12
cn,lintian ba,Lintian Ba,03,,28.341510999999997,116.752569,271.532,72,0,1.47
et,fit'o,Fit'o,46,,11.116667,39.216667,279.282,52,0,0.92
id,ngronan,Ngronan,08,,-7.4152,111.7026,295.957,97,80,1.47
eg,ikinj maryut,Ikinj Maryut,06,,30.9925,29.766666700000002,291.2,72,40,4.1
ir,kalateh-ye sohrab,Kalateh-ye Sohrab,43,,37.279435,57.58500600000001,271.15,86,0,0.82
us,rustic hills,Rustic Hills,MD,,38.4880556,-76.7286111,276.62,64,75,4.6
gr,chorio thymiana,Chorió Thymianá,50,,38.315,26.1336111,285.15,58,20,2.6
ru,ust-shegultan,Ust-Shegultan,71,,60.4,60.11666700000001,257.632,79,44,1.82
mx,nopala,Nopala,20,,16.109167000000003,-97.156111,298.15,65,5,3.1
us,woodlawn estates,Woodlawn Estates,NE,,40.8366667,-96.7191667,283.79,27,1,6.2
ru,selmenga,Selmenga,06,,61.885278,42.699166999999996,268.857,88,92,6.42
cn,xingfuyuan,Xingfuyuan,32,,30.768515999999998,105.030348,276.557,85,36,0.77
rs,knezevo,Knezevo,00,,43.2775,20.911944000000002,272.15,74,0,2.6
td,dougi tibne,Dougi Tibne,04,,12.3647222,15.049444400000002,301.15,20,20,2.6
am,mets dzhamshlu,Mets Dzhamshlu,01,,40.681388899999995,44.2902778,267.4,85,0,0.5
cn,huachiachiaochen,Huachiachiaochen,04,,31.303889,121.07611100000001,276.15,64,0,2
ru,sinitsyno,Sinitsyno,86,,51.8242,40.1965,278.15,93,40,8
ml,dianke,Dianké,00,,15.733333300000002,-4.65,297.307,31,0,3.72
ph,tebalad,Tebalad,H2,,14.957142000000001,121.98556699999999,299.107,100,68,9.02
pl,zurawin,Zurawin,72,,50.980567,17.042237,273.15,85,0,5.1
sv,el copalio,El Copalío,07,,13.433333300000001,-87.9333333,301.15,34,0,6.2
ng,kaina,Kaina,39,,12.637360000000001,8.587349,297.15,29,0,2.6
ru,damberg,Damberg,52,,58.716667,31.1,273.107,93,88,1.87
cf,bokouma,Bokouma,07,,3.75,17.8666667,300.707,53,12,1.52
fr,lilia,Lilia,A2,,48.618832,-4.5543309999999995,280.16,87,0,4.1
cz,pirken,Pirken,89,,50.49575,13.418121,269.15,92,75,1.5
sy,khubayrat,Khubayrat,01,,36.716666700000005,41.0,277.73,73,75,2.6
fr,magnoux,Magnoux,98,,46.588187,2.610861,282.74,81,75,10.3
cd,kembe-malonga,Kembe-Malonga,02,,-5.266667,20.333333,293.807,96,20,0.82
id,landuke,Landuke,38,,-4.373,119.6349,299.782,100,68,2.22
ru,chabagor,Chabagor,20,,52.416111,103.5275,242.15,74,0,2
de,entenort,Entenort,07,,52.05,8.2,273.86,92,75,3.1
de,klenau,Klenau,10,,54.25,11.016667,272.15,100,75,4.6
pk,saranchak khaddian,Saranchak Khaddian,04,,32.183333000000005,75.266667,285.382,81,80,1.47
cl,grutas,Grutas,03,,-21.966667,-69.616667,299.657,46,0,2.22
pe,santa angelica,Santa Angélica,20,,-4.9444444,-80.28,305.007,45,0,3.07
cn,bagou,Bagou,19,,41.004346000000005,120.046388,257.657,26,8,2.42
ru,cherez-mezhnik,Cherez-Mezhnik,60,,57.490568999999994,28.815440999999996,270.15,100,76,1
ru,znamenka,Znamenka,42,,59.872868000000004,29.947946,273.15,99,75,1
br,urubu,Urubu,15,,-19.883333,-46.05,301.232,59,48,2.87
cn,xibet,Xibet,13,,47.2,88.233333,261.982,83,44,2.42
ru,kasyanovka,Kasyanovka,61,,48.943884999999995,40.500964,276.457,89,64,7.27
by,pukhovka,Pukhovka,07,,55.1,27.0333333,271.307,95,36,3.37
am,antarramej,Antarramej,04,,40.6833333,45.1333333,263.757,95,0,1.52
tr,sove,Söve,10,,39.991334,28.095574,283.15,53,20,2.52
gw,jabada beafada,Jabadá Beafada,04,,11.8,-15.3,304.15,31,0,4.6
ng,gindi,Gindi,27,,12.714547999999999,13.033881,294.707,43,36,3.12
ir,harbedan,Harbedan,07,,28.6531,54.4402,268.982,66,0,0.57
th,ban khok on,Ban Khok On,69,,6.753611,101.07180600000001,294.482,93,8,0.82
fi,koivu,Koivu,15,,61.4,23.15,273.15,89,75,3.6
af,de hazarmisi karez,De Hazarmisi Karez,10,,32.363463,64.833816,271.157,84,0,0.87
pl,podos stary,Podos Stary,78,,52.977151,21.117071,272.107,87,20,6.42
ir,salmani,Salmani,11,,27.0336,57.0226,291.15,55,0,2.1
pk,dadu ahloka,Dadu Ahloka,04,,30.296649,73.431777,286.732,75,88,1.27
fi,levaranta,Leväranta,06,,66.8,27.4,270.807,86,76,2.87
pa,la isleta,La Isleta,02,,8.2833333,-82.05,298.15,94,75,1.5
ba,velike njive,Velike Njive,02,,43.735833299999996,19.340555600000002,271.15,63,0,5.1
ve,camino 06,Camino 06,18,,9.063333300000002,-68.8966667,309.257,40,0,4.12
id,dadabong,Dadabong,10,,-7.864167,110.299167,295.207,100,92,1.62
be,klein langerloo,Klein Langerloo,05,,50.933333000000005,5.5,280,81,75,15.4
me,oracine,Oracine,00,,42.756111,18.83,277.48,80,0,0.5
eg,el zaitun qibli,El Zaitun Qibli,04,,29.181944399999995,31.1541667,288.032,59,76,4.37
ru,novotremino,Novotrëmino,20,,56.727,98.0661,252.457,55,0,2.67
de,eckartsberg,Eckartsberg,13,,50.916667,14.8,270.957,91,92,9.12
by,pesevichi,Pesevichi,03,,53.8833333,26.0666667,270.282,90,44,3.22
ir,shur ab,Shur Ab,41,,32.78905,59.355486,272.15,22,0,3.1
kr,sosong,Sosong,17,,36.433333000000005,126.516667,274.15,59,40,6.7
pg,omili,Omili,14,,-6.7,147.0,293.657,100,44,0.77
uy,kiyu,Kiyú,16,,-34.65,-56.75,298.15,47,0,6.2
de,merzdorf,Merzdorf,11,,51.4,13.533332999999999,271.62,80,75,10.3
id,belongpanggang,Belongpanggang,08,,-7.2665,112.4492,300.15,83,20,2.6
gq,ndanguen,Ndanguen,07,,2.0333333,10.566666699999999,295.782,98,92,0.97
in,nagaram,Nagaram,02,,17.184167000000002,78.38972199999999,289.15,77,0,1.5
cd,oje,Oje,10,,-4.1666669999999995,25.4,296.757,87,80,0.77
hn,cordoncillos,Cordoncillos,06,,14.916666699999999,-87.9,295.57,57,20,5.7
mx,sacamulpa huitzitzilapan,Sacamulpa Huitzitzilapan,15,,19.393333,-99.451111,288.8,22,20,3.1
